End_year,Name,Release_season,Release_year,Tags
2008,Ikoku Irokoi Romantan,,2007,"BL, Romance, Shounen-ai, Yaoi, Adult Couples, Europe, Gangs, Italy, Mature Romance, Ship, Based on a Manga, Sexual Content"
,Lupin III: Green vs Red,,2008,"Action, Criminals, Thieves"
2000,Turn A Gundam,Spring,1999,"Action, Mecha, Sci Fi, Military, Political, Original Work"
,The Gymnastics Samurai,Fall ,2020,"Sports, Gymnastics, Supernatural, Original Work"
,Taisho Baseball Girls,Summer,2009,"Drama, Slice of Life, Sports, Baseball, Based on a Light Novel"
,Lupin III Special 26: Italian Game,,2016,"Action, Comedy, Criminals, Italy, Thieves, Based on a Manga"
,Armitage III,,1995,"Action, Sci Fi, Androids, Cyberpunk, Non-Human Protagonists, Robots, Original Work"
,Shinkansen Henkei Robo Shinkalion Z,Spring,2021,"Action, Mecha, Sci Fi, Shounen, Family Friendly, Trains"
,Legends of the Dark King: A Fist of the North Star Story,Fall ,2008,"Action, Seinen, Martial Arts, Overpowered Main Characters, Post-apocalyptic, Based on a Manga, Explicit Violence"
,"Our Home's Fox Deity",Spring,2008,"Comedy, Fantasy, Slice of Life, Animal Characteristics, Japanese Mythology, Based on a Light Novel"
2016,Momokuri,Winter,2015,"Comedy, Romance, Slice of Life, School Life, Short Episodes, Based on a Manga"
,The Comic Artist and His Assistants Specials,,2014,"Comedy, Ecchi, Seinen, Slice of Life, Coworkers, Manga Industry, Otaku Culture, Writers, Based on a Manga"
,Hells Angels,,2008,"Action, Comedy, Fantasy, Seinen, Afterlife, Demons, Hell, Monster School, Non-Human Protagonists, School Life, Based on a Manga, Nudity"
,Pretty Cure Miracle Leap Movie: Minna to Fushigi na 1-nichi,,2020,"Fantasy, Magical Girl, Crossover, Henshin Heroes, Magic"
,Ikiteirutte Subarashii!,,1972,Family Friendly
2015,Hua Jianghu Zhi Buliang Ren,,2014,"Action, Ancient China, Chinese Animation, Martial Arts, Wuxia, CG Animation, Original Work"
,Maroko,,1990,"Sci Fi, Abstract, Recap, Time Travel, Original Work, Incest,, Mature Themes"
,Takuto: No.2,,2019,
,Sou Xuan Lu Zhi Chen Ling Ji,,2021,"Action, Fantasy, Chinese Animation, CG Animation, Original Work"
,Town Workers,,2014,"Promotional, Short Episodes, Work Life"
,DAOKO: Boku (Re-Arrange),,2017,Abstract
,My Name is Elite☆,,2019,VTubers
,"Hell's Paradise: Jigokuraku PV",,2021,"Action, Shounen, Supernatural, Based on a Manga"
1999,Photon: The Idiot Adventures,,1997,"Adventure, Comedy, Ecchi, Sci Fi, Overpowered Main Characters, Sudden Girlfriend Appearance, Original Work, Nudity"
,Resident Evil: Degeneration,,2008,"Action, Horror, Sci Fi, Pandemic, Zombies, Based on a Video Game, CG Animation, Violence"
,Pokemon Black Version 2 and White Version 2,,2012,"Fantasy, Shounen, Family Friendly, Monsters, Promotional, Shorts, Based on a Video Game"
,Cute High Earth Defense Club LOVE! LOVE! LOVE!,,2017,"Aliens, Contemporary Fantasy, Gag, Magic, Parody, School Club, Original Work"
,"Final Fantasy VII: On the Way to a Smile, Episode: Denzel",,2009,"Action, Fantasy, Magic, Based on a Video Game"
1990,Mahou Tsukai Sally 2,,1989,"Magical Girl, Shoujo, Family Friendly, Henshin Heroes, Magic, School Life, Witches, Based on a Manga"
,Scryed Alteration I: Tao,,2011,"Action, Sci Fi, Recap, Superpowers, Original Work"
,Dan Fumi no Ohanashi Channel,,1989,"Fantasy, Family Friendly, Based on a Fairy Tale"
,Aoi Kioku: Manmou Kaitaku to Shounen-tachi,,1993,"Drama, Historical, Military, War, World War 2, Original Work"
,Kawauso Labo,Winter,2019,"Comedy, Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Short Episodes"
,Tears to Tiara,Spring,2009,"Action, Adventure, Fantasy, Harem, Seinen, Demons, Magic, Medieval, Based on an Eroge, Based on a Visual Novel"
,Antarctic Penguin Colors,,2019,"Birds, Short Episodes, CG Animation"
,Yattokame Tanteidan,Fall ,2007,"Mystery, Slice of Life"
,Iria: Zeiram The Animation,,1994,"Action, Sci Fi, Bounty Hunters, Based on a Movie"
,Junlin Chengxia,,2016,"Comedy, Fantasy, Chinese Animation, Gender Bender"
,Oyayubi Hime (1981),,1981,"Fantasy, Family Friendly, Shorts, Stop Motion Animation"
2019,Malta no Kamishibai,,2018,"Slice of Life, Animal Protagonists, Anthropomorphic, Family Friendly, Non-Human Protagonists, Rabbits, Short Episodes"
2009,Golgo 13,Spring,2008,"Action, Seinen, Assassins, Criminals, Episodic, Guns, Noir, Based on a Manga, Explicit Sex,, Mature Themes,, Violence"
1990,Burning Village,,1989,"Fantasy, Horror"
,David gwa Goliath,,1967,"Adventure, Family Friendly, Historical, Korean Animation, Based on a Religious Text"
,Dasshutsu Gasshapon,,2012,"Sci Fi, Feudal Japan, Historical, Short Episodes, Time Travel, Based on a Mobile Game"
2018,Maho-Yome,,2017,"Fantasy, Chibi, Short Episodes"
,Cybersix,Summer,1999,"Action, Sci Fi, Crossdressing, Human Experimentation, Secret Identity, Superheroes, Superpowers, Based on a Comic Book"
,Fafner Exodus,Winter,2015,"Action, Mecha, Sci Fi, Aliens, Animeism, Post-apocalyptic, Psychological, Original Work"
,Si Ling Bianma: Zhi Shijie Caozong Zhe Recap,,2014,"Horror, Mystery, Chinese Animation, Psychological, Recap, Supernatural"
,Chou Hatsumei Boy Kanipan,Winter,1999,"Adventure, Sci Fi, Original Work"
,Shin Dokonjou Gaeru: Dokonjou Yumemakura,,1982,"Comedy, Shounen, Based on a Manga"
,High-Rise Invasion,Winter,2021,"Action, Drama, Ecchi, Horror, Mystery, Shounen, Person in a Strange World, Psychological, Siblings, Supernatural, Thriller, Based on a Manga, Explicit Violence,, Mature Themes,, Suicide"
,Touch: Cross Road - Kaze no Yukue,,2001,"Drama, Romance, Shounen, Sports, America, Baseball, Based on a Manga"
,Karneval Specials,,2013,"Comedy, Fantasy, Josei, Based on a Manga"
,King of Prism: Shiny Seven Stars I - Prologue x Yukinojou x Taiga,,2019,"Idols, Music, Showbiz"
1969,Sasuke,,1968,"Action, Adventure, Shounen, Martial Arts, Ninja, Based on a Manga"
,After War Gundam X,,1996,"Action, Mecha, Sci Fi, Human Experimentation, Military, Post-apocalyptic, Psychic Powers, Superpowers, Original Work"
,"Waiting in the Summer: In Our Last Summer in High School, We Await That Summer",,2014,"Romance, Slice of Life, Aliens, Countryside, Photography, Original Work"
,Code: Realize ~Guardian of Rebirth~ Set a thief to catch a thief,,2018,"Based on an Otome Game, Based on a Visual Novel"
,Honeyworks: Inokori Sensei,,2014,"Black and White, School Life, Vocaloid"
,Kodocha OVA,,1995,"Comedy, Shoujo, Slice of Life, Acting, Idols, Opposites Attract, Promotional, Romantic Comedy, Showbiz, Based on a Manga"
,Cencoroll,,2009,"Action, Sci Fi, Monsters, Original Work"
,Laid-Back Camp 2nd Season Specials,,2021,"Comedy, Slice of Life, Based on a Manga"
2019,Shoujo Kageki Revue Starlight Specials,,2018,"Showbiz, Original Work"
,Pig: The Dam Keeper Poems,,2017,"Slice of Life, Animal Protagonists, Anthropomorphic, Family Friendly, No Dialogue, Non-Human Protagonists, Pigs, Short Episodes, Original Work"
,Eunhajeonseol Tera,,1983,"Adventure, Sci Fi, Korean Animation, Outer Space, Original Work"
1998,Kyuumei Senshi Nanosaver,Spring,1997,Adventure
,Atagoal wa Neko no Mori,,2006,"Adventure, Comedy, Fantasy, Animal Protagonists, Anthropomorphic, Cats, Family Friendly, Non-Human Protagonists, CG Animation"
,Dragon Quest: Dai no Daibouken - Buchiyabure!! Shinsei 6 Daishougun,,1992,"Action, Fantasy, Dragon Quest"
,Mobile Suit Zeta Gundam: A New Translation II -Lovers-,,2005,"Mecha, Sci Fi"
,Bakumatsu no Spasibo,,1997,"Adventure, Historical"
,Hitoshizuku-P × Yama△: Kaizoku F no Shouzou,,2014,"Fantasy, Person in a Strange World, Vocaloid, Based on a Novel"
,Jormungand Recap,,2012,"Action, Seinen, Gangs, Guns, Mercenaries, Recap, Based on a Manga, Violence"
,Ginga Hyouryuu Vifam: Kachua Kara no Tayori,,1984,"Action, Adventure, Mecha, Sci Fi, Recap, Original Work"
,Home!,,2021,"Sci Fi, Anime Tamago, Astronauts, Shorts, Original Work"
,A Silent Voice Specials,,2017,Based on a Manga
1970,Moomin,,1969,"Adventure, Comedy, Fantasy, Slice of Life, Animal Protagonists, Non-Human Protagonists, World Masterpiece Theater, Based on a Novel"
2014,Zinba,,2013,"Action, Adventure, Fantasy, Chinese Animation, Monsters, Person in a Strange World, Summoned Into Another World"
,Maria the Virgin Witch,Winter,2015,"Comedy, Fantasy, Seinen, 15th Century, Europe, France, Historical, Magic, Medieval, Religion, War, Witches, Based on a Manga, Animal Abuse,, Mature Themes,, Sexual Content,, Violence"
,Wolf Girl and Black Prince Recap,,2014,"Romance, Shoujo, Blackmail, Recap, School Life, Based on a Manga"
2013,Girls und Panzer Specials,,2012,"Comedy, Slice of Life, Military, Military School, School Club, School Life, Original Work"
,Digimon Adventure 02 Movie: The Golden Digimentals,,2000,"Action, Adventure, Sci Fi, Shounen, America, Family Friendly, Monsters"
1988,Dirty Pair: With Love From the Lovely Angels,,1987,"Action, Ecchi, Sci Fi, Police, Based on a Light Novel"
,Nintama Rantarou no Uchuu Daibouken with Cosmic Front☆Next,,2016,"Adventure, Comedy, Family Friendly, Ninja, Outer Space"
,Angelic Layer,Spring,2001,"Action, Sci Fi, Shounen, Proxy Battles, Tournaments, Based on a Manga"
,Majestic Prince Movie: Kakusei no Idenshiko,,2016,"Action, Drama, Mecha, Sci Fi, Seinen, Amnesia, Outer Space, Based on a Manga"
2003,Galaxy Angel A,Fall ,2002,"Comedy, Sci Fi, Episodic, Outer Space, Original Work"
,Buddy Complex: Daremo Shiranai Ashita e,,2014,"Action, Mecha, Sci Fi, Recap, Time Travel, Original Work"
2002,Tantei Shounen Kageman,Spring,2001,"Comedy, Mystery, Shounen, Detectives, Episodic, Based on a Manga"
,Hontoni Atta Gakko Kaidan,,1996,"Mystery, Supernatural"
,Kkomaeosa Ttori,,1980,"Action, Adventure, Drama, Korean Animation, Magic"
,Kaba no Potomasu,,1988,"Animal Protagonists, Family Friendly, Non-Human Protagonists"
,Waresho! Warera! Shoudoubutsu Aigo Iinkai,,2019,"Comedy, Aliens, Animal Characteristics, Flash Animation"
,Mobile Suit Gakuen: Kaette Kita G-Reco Koushien,,2020,"Comedy, Parody"
,Wasurenagumo,,2012,"Comedy, Horror, Anime Tamago, Bookstore, Shorts, Supernatural, Original Work"
,Kenshi Yonezu: Matryoshka,,2010,Vocaloid
,Legendary Armor Samurai Troopers: Gaiden,,1989,"Action, Power Suits, Samurai, Original Work"
,Muv-Luv Alternative: Total Eclipse,Summer,2012,"Action, Mecha, Sci Fi, Aliens, America, Military, Based on an Eroge, Based on a Visual Novel, Violence"
,Boyfriend,,1992,"Romance, Shoujo, Based on a Manga"
,Digimon Survive: Prologue Movie,,2019,"Fantasy, School Life, Shorts"
,Robot Carnival,,1987,"Sci Fi, Collections, Non-Human Protagonists, Robots"
2021,Jiu Ye Shen Chuan,,2020,"Action, Adventure, Fantasy, Chinese Animation, Historical, Martial Arts, CG Animation, Original Work"
,Sasameki Koto,Fall ,2009,"Comedy, Drama, GL, Romance, Shoujo-ai, LGBT Themes, School Life, Based on a Manga"
,Precarious Woman Executive Miss Black General,,2017,"Comedy, Shounen, Short Episodes, Superheroes, Based on a Manga"
,Before Green Gables,Spring,2009,"Drama, 19th Century, Canada, Countryside, Family Friendly, Historical, Melancholy, Orphans, Poverty, World Masterpiece Theater, Based on a Novel, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse"
1996,Soar High! Isami,,1995,"Adventure, Comedy, Original Work"
1994,Shippu! Iron Leaguer,,1993,"Sci Fi, Sports, Baseball, Robots, Soccer, Original Work"
1997,YAT Anshin! Uchuu Ryokou,,1996,"Adventure, Comedy, Sci Fi, Outer Space"
1997,Fushigi Yugi OVA,,1996,"Fantasy, Romance, Shoujo, Contemporary Fantasy, Isekai, Based on a Manga"
,Da Zhu Zai,,2019,"Action, Adventure, Fantasy, Chinese Animation, Cultivation, Martial Arts, Xianxia, Based on a Light Novel"
1988,Norakuro-kun,,1987,"Comedy, Mystery, Shounen, Animal Protagonists, Anthropomorphic, Dogs, Non-Human Protagonists, Based on a Manga"
,Genius Party,,2007,"Sci Fi, Abstract, Collections, Zombies, Original Work, Nudity"
,Wei Wo Du Shen,,2021,"Action, Fantasy, Chinese Animation, Short Episodes, CG Animation"
,Dragon Quest: Dai no Daibouken - Tachiagare!! Avan no Shito,,1992,"Action, Fantasy, Dragon Quest"
2018,Garo: Vanishing Line,Fall ,2017,"Action, Fantasy, Mystery, Sci Fi, Conspiracy, Contemporary Fantasy, Dark Fantasy, Demons, Power Suits, Superheroes, Supernatural, Based on a TV Series, Mature Themes,, Physical Abuse"
2015,Garo The Animation,Fall ,2014,"Action, Adventure, Fantasy, Dark Fantasy, Demons, Magic, Medieval, Power Suits, Superheroes, Supernatural, Based on a TV Series, Mature Themes,, Nudity,, Physical Abuse,, Violence"
,Lagrange: The Flower of Rin-ne - Season 2,Summer,2012,"Action, Comedy, Drama, Ecchi, Mecha, Sci Fi, Aliens, Original Work"
1976,Tentou Mushi no Uta,,1974,"Drama, Slice of Life, Based on a Manga"
,Another World,Summer,2019,"Drama, Romance, Sci Fi, Melancholy, Short Episodes, Original Work"
1990,Miracle Giants Dome-kun,,1989,"Shounen, Sports, Baseball, Based on a Manga"
,Ore wa Chokkaku,,1991,"Action, Comedy, Samurai, Based on a Manga"
,Shingeki no Kyojin-ten 360° Taikan Theater,,2017,"Fantasy, Dark Fantasy"
,Shakugan no Shana III Specials,,2012,"Comedy, Chibi"
,Memory of blue,,2018,"Drama, Ocean, Ship, Shorts"
,Marty Friedman: The Perfect World,,2018,"Action, Sci Fi, Violence"
,Armitage III Poly-Matrix,,1997,"Action, Sci Fi, Androids, Cyberpunk, Non-Human Protagonists, Robots, Original Work"
,Katato The Animation,,2017,"Comedy, Parody, Short Episodes, Based on a Manga"
,TUYU: Chuuken Hachi,,2021,"Drama, Animal Protagonists, Dogs, Melancholy, Non-Human Protagonists, Pets"
,Encouragement of Climb: Omoide Present,,2017,"Seinen, Slice of Life, Childhood Friends, Shorts, Based on a Manga"
,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (2018),Winter,2018,"Action, Mecha, Sci Fi, Shounen, Cars, Police"
,Comet in Moominland,,1992,"Fantasy, Family Friendly, Non-Human Protagonists"
,Yorushika: Itte.,,2017,Abstract
,Fist of the North Star: Legend of Yuria,,2007,"Action, Shounen, Desert, Dystopia, Hand to Hand Combat, Martial Arts, Post-apocalyptic, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes,, Physical Abuse"
2005,Desert Punk,Fall ,2004,"Comedy, Ecchi, Sci Fi, Seinen, Bounty Hunters, Desert, Guns, Post-apocalyptic, Based on a Manga"
,Tsukigakirei Special,,2017,"Comedy, Original Work"
2016,Shin Atashinchi,Fall ,2015,"Comedy, Slice of Life, Episodic, Family Friendly, Family Life, Based on a Manga"
,Kanon,Winter,2002,"Drama, Harem, Romance, Based on a Visual Novel"
,Kenshi Yonezu: Umi no Yuurei,,2019,"Ocean, Supernatural, Based on a Manga"
,Kamisama Minarai: Himitsu no Cocotama Specials,,2018,"Fantasy, Family Friendly, Short Episodes"
1992,The Guyver: Bio-Booster Armor II,,1991,"Sci Fi, Shounen, Power Suits, Based on a Manga, Explicit Violence,, Nudity"
,Lupin III: Legend of the Gold of Babylon,,1985,"America, Criminals, Thieves, Based on a Manga"
,Kasa Jizou,,1960,"Family Friendly, Historical, Shorts, Stop Motion Animation"
,Mei Chuxi de Yinyang Shi Yijia 2nd Season,,2020,"Comedy, Slice of Life, Chinese Animation, Short Episodes, Based on a Manga"
,Ado: Yoru no Pierrot (TeddyLoid Remix),,2021,CG Animation
,Poketoon,,2020,"Comedy, Fantasy, Family Friendly, Monsters, Short Episodes"
,"Masamune-kun's Revenge",Winter,2017,"Comedy, Romance, Shounen, Revenge, School Life, Based on a Manga"
,Senyuu.,Winter,2013,"Comedy, Fantasy, Shounen, Breaking the Fourth Wall, Parody, RPG, Short Episodes, Based on a Manga"
,Ms. Vampire who lives in my neighborhood.,Fall ,2018,"Comedy, Slice of Life, Supernatural, Vampires, Based on a Manga"
,And you thought there is never a girl online?,Spring,2016,"Comedy, Ecchi, Romance, Guilds, MMORPG, School Life, Sudden Girlfriend Appearance, Based on a Light Novel"
1986,Urusei Yatsura,,1981,"Comedy, Romance, Sci Fi, Shounen, Slice of Life, Aliens, Cohabitation, School Life, Sudden Girlfriend Appearance, Based on a Manga"
,A Certain Magical Index-tan,,2009,"Comedy, Sci Fi, Magic, Parody, Psychic Powers, Supernatural, Superpowers, Based on a Light Novel"
,Ojamajo Doremi # Movie,,2000,"Magical Girl, Henshin Heroes, Magic, Witches, Original Work"
,GA: Geijutsuka Art Design Class OVA,,2010,"Comedy, Seinen, Slice of Life, Art, Art School, Based on a Manga"
,"Watamote: No Matter How I Look at It, It's You Guys' Fault I'm Not Popular!",Summer,2013,"Comedy, Shounen, Slice of Life, Mental Illness, Otaku Culture, School Life, Based on a Manga"
,Napping Princess,,2017,"Drama, Fantasy, Original Work"
,Lovely Movie: Lovely Muuuuuuuco! 2,Spring,2014,"Comedy, Seinen, Slice of Life, Animal Protagonists, Countryside, Dogs, Iyashikei, Non-Human Protagonists, Pets, Short Episodes, Based on a Manga"
,Bubblegum Crisis: Hurricane Live! 2032,,1988,
,Real Girl,Spring,2018,"Comedy, Romance, Shoujo, School Life, Based on a Manga"
,Eureka Seven: Navigation ray=out,,2006,"Action, Adventure, Mecha, Romance, Sci Fi, Coming of Age, Military, Recap, Original Work, Violence"
,"Infinite Stratos 2: One's Summer Memories",,2013,"Ecchi, Harem, Mecha, Sci Fi, Power Suits, Based on a Light Novel"
2016,Himouto! Umaru-chan S,,2015,"Comedy, Seinen, Chibi, Siblings, Based on a Manga"
,Lovely Muuuuuuuco! OVA,,2016,"Comedy, Seinen, Slice of Life, Animal Protagonists, Countryside, Dogs, Iyashikei, Non-Human Protagonists, Pets, Based on a Manga"
2016,LocoDol OVA,,2015,"Seinen, Slice of Life, Christmas, Idols, Based on a Manga"
,One-Punch Man Recap,,2019,"Action, Comedy, Sci Fi, Shounen, Cyborgs, Monsters, Overpowered Main Characters, Parody, Recap, Satire, Superheroes, Superpowers, Based on a Manga, Explicit Violence"
,KakoPad: Nagaoka Hanabi Monogatari,,2017,"Sci Fi, Educational, Historical, Time Travel"
1976,Andes Shounen Pepero no Bouken,,1975,"Adventure, Family Friendly"
,Freezing Vibration,Fall ,2013,"Action, Seinen, Aliens, Superpowers, Based on a Manga, Mature Themes,, Nudity,, Physical Abuse,, Sexual Abuse,, Violence"
2018,Cardfight!! Vanguard G: Z,Fall ,2017,"Action, Fantasy, Card Battles, Family Friendly, Tournaments, Based on a Card Game"
,Princess Resurrection: Princess Comatose,,2008,"Shounen, Supernatural, Based on a Manga"
,Naruto Movie 3: Guardians of the Crescent Moon Kingdom,,2006,"Action, Shounen, Ninja, Based on a Manga"
,Dali Si Rizhi,,2020,"Fantasy, Animal Protagonists, Anthropomorphic, Cats, Chinese Animation, Non-Human Protagonists"
,Kiki to Lala no Hakuchouza no Ohime-sama,,1993,"Fantasy, Family Friendly, Sanrio Characters"
,Eve: LEO,,2020,
,Girls und Panzer: Saishuushou 2 - Taiyaki War!,,2020,Slice of Life
,Slow Loop,Winter,2022,"Seinen, Slice of Life, Fishing, The Great Outdoors, Based on a Manga"
,The Vampire Dies in No Time,Fall ,2021,"Comedy, Shounen, Gag, Slapstick, Supernatural, Vampires, Based on a Manga"
,Jean Valjean Monogatari,,1979,"Drama, 19th Century, Europe, France, Historical, World Masterpiece Theater, Based on a Novel"
,Is It Wrong to Try to Pick Up Girls in a Dungeon? II: Past & Future,,2019,"Action, Fantasy, Harem, Romance, Dungeon, God-Human Relationship, Gods, Guilds, Interspecies Relationship, Recap, RPG, Swordplay, Weak to Strong, Based on a Light Novel"
,Kiki to Lala no Mamatte Suteki!,,1995,"Fantasy, Family Friendly, Sanrio Characters"
,Kyojin no Hoshi Movie 2: Ike Ike Hyuuma,,1969,"Drama, Sports, Baseball"
,"Love, Election & Chocolate: Ikenai Hazuki-sensei",,2012,"Romance, Picture Drama, Based on an Eroge, Based on a Visual Novel"
