End_year,Name,Release_season,Release_year
,Blood-C,Summer,2011
1982,Galaxy Cyclone Braiger,,1981
1994,Tokyo Babylon,,1992
,Ganbare! Kakure Ase Project,,2019
,Mai Zhu,,2012
,A Branch of a Pine Is Tied up,,2017
,Tide-Line Blue,Summer,2005
,Azur Lane: Slow Ahead! Hokorashiki Bokou ni Shukusai wo,,2021
2014,Ghost in the Shell: Arise - Logicoma Specials,,2013
,Noiseman Sound Insect,,1997
,Recorder and Randsell,Winter,2012
1996,Macross 7 Plus,,1995
,Teekyuu 5,Summer,2015
,Dededen,Winter,2015
,Gravion Zwei,Winter,2004
,Night Head 2041,Summer,2021
,Kanokon Specials,,2008
,Dear November boy.,,2012
,Inochi Sketch x Mameshiba,,2019
,Ran,,2014
,Inuwari-san Pilot,,2009
,Wolf Children x House Shokuhin Stew,,2012
2000,Monster Rancher,Spring,1999
,He is My Master,Spring,2005
,Pokemon: Pichu Bros. in Party Panic,,2003
2020,Hakata Bus Terminal Gorou,,2019
,Gundam Build Divers: Battlogue,Fall ,2020
,Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,,2016
,NINO & Evan Call: Jyou Jyou,,2020
,Locke the Superman: Mirror Ring,,2000
,Doki Doki School Hours,Spring,2004
,"Stella Women's Academy, High School Division Class C3",Summer,2013
,Strike Witches OVA,,2007
,Youkai Ningen Bem: Part II,,1992
2015,Ohayou Hakushon Daimaou ZIP!,,2014
2018,Kamisama Minarai: Himitsu no Cocotama,Fall ,2015
,Mighty Orbots,,1984
,Hiromi,,1980
,Magical Fairy Persia: Escape!,,1995
,"Mattsu, Yamma and Moburi: The Mystery of the Seven Gems and the Flying Castle",Fall ,2013
,Umi e Kite,,1984
,Dinosaur Biyori,Spring,2021
,Nejishiki: Nijimu Sekai,,2020
,"Afterglow: Tsunagu, Soramoyou",,2018
,Qiang Niang,,2017
,Akai Hana Shiroi Hana,,1976
,Irodorimidori: Tanitsu Shikousei Overbloom,,2019
,Candy Candy: The Call of Spring,,1978
1970,Otoko Ippiki Gaki Daishou,,1969
,God Bless Dancougar,,1987
,"Mattsu, Yamma and Moburi 2: Navy's Treasure and Islands with Mystery to Be Hunted",Fall ,2014
1988,Oraa Guzura Dado (1987),,1987
,"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou (web)",,2015
,DAIHAKKEN: Hen na Ai ni Damaserenaide,,2020
2006,Zettai Zetsumei Dangerous Jii-san 3rd Season,Spring,2005
,Miss Monochrome 3,Fall ,2015
,Mass Effect: Paragon Lost,,2012
1991,Karasu Tengu Kabuto,,1990
2016,Lalala Lala-chan,Winter,2015
,Nihon Mukashibanashi: Saru Kani,,1972
,To Heart 2: Special Compilation,,2005
,Nanameue-P: Kimi to Boku no Resonance,,2020
,Burst Angel: Infinity Specials,,2007
,Fastening Days 3,Summer,2017
,Daphne in the Brilliant Blue,Winter,2004
,Gakumon! Ookami Shoujo wa Kujikenai,Spring,2014
,FAKE TYPE: Witch Hat - Majo to Boushi no Waltz,,2014
,Kanta and the Deer,,1992
,YU-NO: A Girl Who Chants Love at the Bound of This World,Spring,2019
,The Cherry Tree,,1983
2004,Ocha-ken: Chokotto Monogatari,,2003
,Hello Kitty and Dear Daniel in The Snow Queen,,2001
,"Slime Boukenki: Umi da, Yeah!",,1999
,Mr. Children: Himawari,,2017
,Hamtaro Movie 2: Ham Ham Ham~Jya! Maboroshi no Princess,,2002
,Henkei Sakuhin Dai 1-ban,,1984
,Baku Tech! Bakugan Gachi: Tokubetsu-hen,Winter,2014
,Shaman King Mini Anime: Funbari Onsen Hanjouki,,2021
,Oretachi ni Tsubasa wa Nai: Hada-iro Ritsu Kyuu-wari Zou!?,,2011
,Adult Swim Festival 2019 Animation,,2019
,Birthday Boy,,2004
,Tayo Movie: Tayo Dino Kingdom Adventure,,2019
2004,Comic Party Revolution OVA,,2003
,SPICA: Special Nu World,,2018
,The Doraemons: Mushimushi Pyonpyon Daisakusen!,,1998
,Ima demo Senchou to Yobarete iru Senchou no Yoru,,1971
,Niji-iro Prism Girl,,2013
,Submarine Super 99,Spring,2003
,Last Note: Esoragoto Spiral,,2016
2001,Maetel Legend,,2000
,"Katri, Girl of the Meadows",,1984
,Pororo the Little Penguin 4,,2012
,Youkoso Lodoss-tou e!,,1998
,Kinoshita: Ayumi☆Magical Showtime,,2019
,Hayao Konishi: MA・TSU・RI,,2019
,Mahou no Star Magical Emi: Kumo Hikaru,,2002
,3000 Leagues in Search of Mother,,1976
,THE SxPLAY: For Kimi ni Okuro Uta,,2019
,Bad Badtz-maru no Ookami ga Kita!,,2001
,Dungeon Meshi CM,,2019
2015,12-Sai.,,2014
,Kinnikuman II Sei: Ultimate Muscle,Spring,2004
1998,Cutey Honey Flash,Winter,1997
,Hikaru Utada: Sakura Nagashi,,2016
,He Wei Dao x Re:ZERO -Starting Life in Another World-,,2018
,Puppet Princess,,2000
1992,Warau Salesman,,1989
,gdgd Fairies 2,Winter,2013
,Panda! Go Panda!,,1972
,My Life,,2012
,"Nanana's Buried Treasure Specials",,2014
1991,NG Knight Lamune & 40,,1990
,"Bagi, the Monster of Mighty Nature",,1984
1993,Ys II: Castle in the Heavens,,1992
,Angel Tales Specials,,2002
,Omoi no Kakera,,2015
1997,Mizuiro Jidai,,1996
,Black Jack: Heian Sento,,2000
,Inugami-san to Nekoyama-san,Spring,2014
1999,Mobile Suit Gundam: More Information on the Universal Century,,1996
,Nagareboshi Lens Specials,,2012
,The Irregular at Magic High School: Get to Know Magic Studies! Special,,2015
2007,G.I. Joe: Sigma 6,Summer,2005
,ORESAMA: Otome Chic,,2015
,".hack//Quantum: Go, Our Chim Chims!!",,2011
1989,Meimon! Daisan Yakyuubu,,1988
,Gackt: Kimi dake no Boku de Iru kara,,2016
,rerulili: Holy Lance Explosion Boy,,2013
2000,Doukyuusei 2 Special: Sotsugyousei,,1999
,Bakuhatsu Goro,,1970
,Fruity Samurai,,2013
,Tomoko Oshima: Tadaima.,,2017
,Larva: Island 2nd Season,,2019
,Arata the Legend Picture Drama,,2013
,Chiruran: Nibun no Ichi Special,,2017
,Karada Sagashi,,2017
,47 Todoufuken R,Winter,2014
,Keina Suda: MUG,,2020
,Wan Wan Chuushingura,,1963
,Tenshi Nanka ja Nai,,1994
,"Zutomayo: Dear. Mr ""F""",,2019
1971,Attack No. 1,,1969
,"One Week Friends: Kaori's Journal",,2014
,Tomoyo,,2011
,Namida no Chikara,,2002
,Kage (1967),,1967
,Blue Archive: Benriya 68 PV,,2021
,His Lipstick,,2012
,Ni ga Mushi Ojisan,,1987
,paco: September,,2014
,Watashi no Nyanko,,1983
,Powder: New Tribe,,2019
,ColoColo Animal Otogibanashi,Spring,2021
,Mameshiba Theme Song,,2011
2019,Holiday Advent Calendar 2018,,2018
,TAIYO KIKAKU’s 49th Anniversary Movie,,2017
,MTV: After Hours ID,,2020
,Da Capo III,Winter,2013
,"Lord of Lords Ryu Knight: Adeu's Legend Final",,1996
,Yasashii Lion,,1970
,Ikkitousen,Summer,2003
,If Her Flag Breaks,Spring,2014
,Angel Tales,Fall ,2001
,Yu-Gi-Oh! Sevens,Spring,2020
,Ojiichan ga Kaizoku Datta Koro,,1968
,Neru: Sekai wo Kowashite Iru,,2015
,Another Time,,2010
,Shadow of the Cherry Blossoms,,2006
,Pandora in the Crimson Shell,,2015
,PJ Berri no Mogumogu Munyamunya 2nd Season,,2017
,Aqua Kids,,2004
,THE CHARM PARK: Holding Hands,,2015
,Nem: Angelfish,,2014
2011,"Queen's Blade: Beautiful Warriors",,2010
,The [email protected]: Xenoglossia,Spring,2007
,Saint Beast: Kouin Jojishi Tenshitan,Spring,2007
,Comic Party Revolution,Spring,2005
2013,Chocolat no Mahou,,2011
,Beyond the Boundary: Mini Theater,,2014
,Hamtaro OVA 3: Rainbow Rescue,,2004
,Catman Series III,,2008
,"Pokemon: Meloetta's Moonlight Serenade",,2012
,Desert Rose,,1993
2014,Si Ling Bianma: Zhi Shijie Caozong Zhe,,2013
,Mobile Suit Gundam-san: Hiyoko Days - Suisei Hiyoko to Fushigi na Ofuda,,2016
,Yoshiko Hanzaki: Ashita e Mukau Hito,,2015
,Q Transformers: Saranaru Ninkimono e no Michi,Summer,2015
,ClariS: CLICK,,2014
,TWIN CROSS: Dareka no Santa Claus,,2014
,Mushi-Uta,Summer,2007
,Captain Earth,Spring,2014
,Wakako-zake,Summer,2015
2005,"Agatha Christie's Great Detectives Poirot and Marple",Summer,2004
,Fate/Grand Order: Cosmos in the Lostbelt - Lostbelt No. 1 Event PV,,2018
,Chou Yuu Sekai: Being the Reality,Winter,2017
,Match Uri no Shoujo,,1971
,Kite Liberator,,2008
2005,Legendz: Yomigaeru Ryuuou Densetsu,Spring,2004
,God Eater Rezo Nantoka Gekijou,,2018
,One Piece: FNS 27 Hour TV,,2017
,Kumorina: Namae no Nai Hi,,2012
,Deco*27: Hitojichi Koukan,,2019
,Shining Tears X Wind,Spring,2007
2019,Duel Masters!,Spring,2018
2020,Disney Tsum Tsum,,2014
,Hitori Kurashi no Shougakusei,,2017
1995,Lord of Lords Ryu Knight,,1994
,Neko Ramen: Ore no Shouyu Aji,,2008
,Katte ni Shirokuma,,1987
,"Astro Boy: The Secret of Atom's Birth",,2003
,Shiritsu Ebisu Chuugaku: Donten,,2019
1991,Idol Tenshi Youkoso Yoko,,1990
,Seton Academy: Join the Pack! Special,,2020
,Yoshino no Hime,,2005
,Ndaho Kekkon Omedetou!!,,2021
,Lily to Kaeru to (Otouto),,2006
1965,Tetsujin 28-gou,,1963
2006,Saint Beast: Ikusen no Hiru to Yoru Hen,,2005
,Assault Lily BOUQUET,Fall ,2020
,Nikuiyo! Galbi-kun: Kemuri ga Me ni Shimiru,,2018
,Dandy Hitsuji Shitsuji,,2017
,Three Workers,,2011
,Planetarium,,2019
,HoneyWorks: Diagnosis: Lovesickness,,2013
,Under the Dog,,2016
,Naite Ita Onnanoko,,1979
,Chiisana Tegami,,2000
,Kuma no Nuigurumi,,1987
,Mama no Earring,,1990
,Tokyu Plaza Ginza Open,,2016
,Ai no Tabidachi,,1989
,Gakuen Handsome Special,,2016
,Hill Climb Girl,,2014
,Kano: day by day,,2017
,Puni Puni Poemy,,2001
,Kill Me Baby,Winter,2012
,Nikukyuu no Uta,,2014
,Saraba Seishun,,1975
,Arui Tekoteko,,2016
,Boku wa Koko de Ikiteiku,,2015
,Nijiiro Love Letter,,2009
,Mickey to Oliver no Agent Yousei Kouza,,2021
,Million Arthur 2nd Season,Spring,2019
,Wakamono to Koinu to Croissant,,1976
,Mafumafu: Handicap,,2017
,Transformers: Victory,,1989
,Fully cooked for you,,2011
,Monogatari Series PucPuc OP,,2018
,"EZ3kiel: L'Oeil du Cyclone",,2015
,The Ambition of Oda Nobuna Recap,,2012
,Candy no Yume,,1978
,Yoshiharu Abe: Shiroi Niji,,2014
,Tantei Opera Milky Holmes: Alternative,,2012
,Yokomin: Yukari,,2014
,GYARI: Mugen ni Homete Kureru Haruno Sora Sensei,,2018
,Kaijuu Sakaba Kanpai!,Summer,2015
,Fox Fears,,2015
,Radio Wave,,2016
,XPICE,Summer,2020
1999,Steam Detectives,Fall ,1998
,Pichiko Dakyuubu USA-hen,,2015
1998,Growing Up With Hello Kitty,,1994
,Karma,,1977
,Uma Musume: Pretty Derby PV,,2016
,Wish,,1997
1966,Wonder 3,,1965
,eX-Driver Danger Zone,,2002
,Squid Girl: Kore ga Umi e no Ai Janaika!,,2012
,"Wake Up, Girls! no Miyagi PR Yarasete Kudasai!",,2016
,Gargoyle of the Yoshinagas,Spring,2006
,Ahiru no Pekkle no Aladdin to Mahou no Lamp,,1993
,Hina Logi: From Luck & Logic,Summer,2017
1996,801 T.T.S. Airbats,,1994
2006,Loveless Specials,,2005
,Space Runaway Ideon: Contact,,1982
1986,Magical Star Magical Emi,,1985
,Kite,,1998
2003,Sonic X Pilot,,2001
,Jetter Mars,,1977
,Will Hatching Day Come?,,2015
,Sengoku Night Blood,Fall ,2017
,Magical Girl Ore,Spring,2018
,Pokemon: The Mastermind of Mirage Pokemon,,2006
,Super Seisyun Brothers,Fall ,2013
,Zettai Shounen,Spring,2005
,Fate/Grand Order: Cosmos in the Lostbelt - Lostbelt No. 2 Event PV,,2018
,"Alexander's Decision",,2003
,Kumi to Tulip,,2015
,"86: Eighty-Six - Part II: If There's Something Worth Dying For",,2021
,Mouryou no Hako: Hako no Yuurei no Koto,,2009
,Encouragement of Climb Special,,2013
,Watakushiritori,,2013
2020,Smile Down the Runway Mini Anime,Fall ,2019
2021,Tadaima! Chibi Godzilla 2nd Season,Fall ,2020
2015,Mobile Suit Gakuen: G-Reco Koushien,,2014
,Gottsuo-sama,,1997
,Al Caral no Isan,,1993
,Night Head Genesis,Summer,2006
,Youkai Ninpouchou Jiraiya!,,2015
,The Girl Who Leapt Through Space Picture Drama,,2009
,Battle Girls: Time Paradox,Spring,2011
,Starship Girl Yamamoto Yohko,Spring,1999
,Pokemon XY Special: Road to Kalos,,2013
,Tokimeki Memorial 4: Original Animation - Hajimari no Finder,,2009
1981,Tondemo Senshi Muteking,,1980
,Break Go!Ga!,,2017
,Kotowa Jiten: Hetana Teppou mo Kazu Ucha Ataru!,,1979
,Aimer: Nemuri no Mori,,2013
,Hashiri Tsuzukete Yokattatte.,Fall ,2018
1970,Pinch to Punch,,1969
,Huan Jing Nuo De Lin,,2017
,Etotama,Spring,2015
,Teekyuu 9,Summer,2017
1990,Blue Sonnet,,1989
,Denshinbashira no Okaasan,,2005
2021,Deluxe Da yo! Kaishain,Summer,2019
,Yumi Matsutoya: Flying Messenger,,2009
2005,Pretty Cure,Winter,2004
,Sangatsu no Phantasia: Cobalt World,,2016
,Saint Seiya: Legend of Sanctuary,,2014
,My Girlfriend is Shobitch,Fall ,2017
1983,Ai no Senshi Rainbowman,,1982
,Off Stage,,2001
,The Fire G-Men,,1974
,Chii-chan no Himitsu,,1991
,Dropkick on My Devil!,Summer,2018
,"Girls' Frontline",Winter,2022
,"Franz Kafka's A Country Doctor",,2007
,Fate/Grand Order: Epic of Remnant Pseudo - Singularity I Event PV,,2017
,Run Melos! (1981),,1981
,The [email protected]: Cinderella Girls - Spin-off!,Fall ,2019
,"Dragon Quest: The Adventure of Dai (2020) - The Trail of Adventure, The Path Forward",,2021
,Chronicles of the Going Home Club: Miniature Theater,,2013
,Hadakanbou,,2004
,iMarine Project: DEEP BLUE SONG MMD,,2017
,Sakigake!! Otokojuku Movie,,1988
,If I See You In My Dreams OVA,,1998
,Pokemon Black & White: Dekorora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!,,2014
1998,Battle Athletes,,1997
,CHVRCHES: Out Of My Head,,2018
,Enyogu,,2007
,Mameshiba: Mamerry Christmas 2020,,2020
,Puttobe! Poodel,,2010
,Googuri Googuri,,2010
,ketchup mania: Please! Marry Me!!,,2008
,Comic Party,Spring,2001
2003,Harukanaru Toki no Naka de ~Ajisai Yumegatari~,,2002
,Zutomayo: Kettobashita Moufu,,2019
1993,Yadamon,,1992
,Amanatsu,,2009
,Nisekoimonogatari,,2015
1988,Wrath of the Ninja,,1987
,Tsuyokiss: Cool x Sweet,Summer,2006
,Bamboo Blade Specials,,2008
,Rail Wars!,Summer,2014
,Chiisana Jumbo,,1977
,Mokuri,,2020
,Mi Bao Zhi Guo,,2021
,Tarzan,,1990
,Nabowa: Casablanca,,2017
,Dragon Ball Z Movie 11: Bio-Broly,,1994
,Mini Hama Specials,,2015
,Mianhada Saranghanda,,2008
,Little El Cid no Bouken,,1984
,Magia Record Arc 2 OP,,2020
,Tantei Opera Milky Holmes,Fall ,2010
,Re:Petit Kara Hajimeru Isekai Seikatsu,Spring,2016
,Ah My Buddha!!,Summer,2005
,Diamond Daydreams,Winter,2004
,Aimer: Omoide wa Kireide,,2018
,Cocktail Prince: Shaking Night!!,,2018
,rerulili: Hikariyume,,2020
,"Hello, Happy World! Alien Alien",,2019
,The Lost Breakfast,,2015
,Yoshimune,Spring,2006
,"Yamibo: Darkness, The Hat and the Travelers of the Books",Fall ,2003
,Nem: Little Knights,,2017
,Arjuna,Winter,2001
1994,Rockman: Hoshi ni Negai wo,,1993
,ClariS: irony,,2010
2011,Heroman Specials,,2010
,Iblard Jikan,,2007
,Tsukigakirei: First Half - The Road So Far,,2017
,Soratobu Penguin,,1989
,IRoid: Koi no Yuukou Frontier,,2015
,Kiss wa Me ni Shite,,1993
,Project A-ko: Uncivil Wars,,1990
,"Sonic Soldier Borgman: Lover's Rain",,1990
,Anemone,,2011
2010,Fight Ippatsu! Juuden-Chan!! Specials,,2009
,Akindo Sei Little Peso,Spring,2017
,Fatal Fury: Legend of the Hungry Wolf,,1992
2009,Domo TV,,2008
,iMarine Project: Dive to Blue MMD,,2016
,Jubei-chan: The Ninja Girl,Spring,1999
,Hana no Hanashi,,2010
,Kyou mo Chappy End,,2002
,OSTER project: Summer Idol,,2012
2012,Digimon Xros Wars: Toki o Kakeru Shounen Hunter-tachi,Fall ,2011
1985,Mahou no Yousei Persia,,1984
2019,Jakusansei Million Arthur,Fall ,2015
,Fastening Days 4,Fall ,2019
,Tales of the Rays: Mirrage Prison OP,,2018
,Kemeko Deluxe!,Fall ,2008
,Go! Samurai,,2015
,Miss Monochrome 2,Summer,2015
,Koyomi History,,2015
,Fate/strange Fake PV,,2019
,"Monster Strike: An Encore and Continuance - Pandora's Box",Fall ,2016
,Ichiban Kirei na Hoshi,,1989
,Ikedaya Soudou,,1961
,Yurikuma Arashi,Winter,2015
1993,Space Oz no Bouken,,1992
,DECO*27 & kemu: SEKAI,,2020
,Thermae Romae: Kodai Romajin ga Uchuu e,,2012
,Pinocchio-P: Ultimate Senpai,,2019
,Tamagotchi Movie 3: Himitsu no Otodake Daisakusen!,,2017
,Natsu to Suisei: City,,2019
,Hato no Uta,,1986
2019,Green Co-Op CMs,,2017
,Toki wa Meguru: Tokyo Station,Spring,2014
,Meg & Patron: Pari Pari Pa-ri,,2014
,Blossom,,2012
,Mafumafu: Ikasama Dance,,2020
,"iMarine Project: Marine Dreamin' MMD (2017)",,2017
1978,Kyouryuu Daisensou Aizenborg,,1977
,Magatsu Wahrheit,Fall ,2020
,Assassins Pride,Fall ,2019
,Rokushin Gattai God Mars Juunanasai no Densetsu,,1988
,Yukkedoluce: Ringo Uri no Utakata Shoujo,,2012
2006,Pororo the Little Penguin 2,,2005
,Moufu no Hi,,2016
,Ibarahime Mata wa Nemurihime,,1990
,Choujuu Giga,,2016
2008,The [email protected]: Xenoglossia Specials,,2007
,THE CHARM PARK: Timeless,,2018
,The Aquatope on White Sand Mini Anime,Summer,2021
1992,Ultraman Kids: Haha wo Tazunete 3000-man Kounen,,1991
,Fumiko no Kokuhaku,,2009
,Handsome Kenya: Random,,2014
,Onnanoko dake ga Wakaru Uta: Only Girls Get It,,2015
2001,Baby Felix,Fall ,2000
,Best Friend,,1992
,Osampo,,2006
,Ookina Furudokei (1973),,1973
,Neru: Dappou Rokku,,2016
,Super Dimensional Fortress Macross II: Lovers Again,,1992
1975,Gan to Gon,,1974
,Hachioji-P: Sweet Devil,,2011
,Arashi no Yoru ni: Himitsu no Tomodachi,Spring,2012
,Orangutan,,1980
,"Zettai Karen Children: Generous Treatment! Natsuko and Hotaru's B.A.B.E.L. Report",,2009
2015,Fuusen Inu Tinny,Fall ,2014
,Lemon Angel (1988) II,,1988
,Aimer: Kachou Fuugetsu,,2017
,R-15,Summer,2011
,The Life of Budori Gusko (1994),,1994
,Hikaru Utada: Fluximation,,2005
,BanG Dream! Pastel Life,Spring,2018
,2.43: Seiin High School Boys Volleyball Team Mini Anime,,2020
2002,Yobarete Tobidete Akubi-chan,,2001
,Deji Meets Girl,Fall ,2021
,Fate/Extra Last Encore,Winter,2018
,Kaiketsu Zorori (1993),,1993
,Mr. Cloud and Mr. Rain,,2007
,"Open Play, Forgetting Eye",,2012
,kemu: Chikyuu Saigo no Kokuhaku o,,2012
,Neru: Saikyouiku,,2012
,rerulili: Ippatsu Sokuto Kai Girl,,2017
,Tetsuko no Tabi,Spring,2007
,Guomin Laogong Dai Huijia,,2016
,Koi☆Sento,,2010
,To Heart,Spring,1999
,Pinocchio-P: Sick Sick Sick,,2017
,halyosy: Steppër,,2017
,Ukiyodoko,,2012
,Dou Hun Wei: Xuan Yue Qiyuan,,2018
,Whiteeeen: Ai Uta - Since 2007,,2016
,Minna no Uta: Piano,,1997
,Kizuna: Much Ado About Nothing,,2001
,Stone,,1975
,Donyatsu Specials,,2013
,Sora e,,2005
,Osamishi Tani no Wakare Uta,,1971
,Dragon Ball Z: Summer Vacation Special,,1992
,Detective Conan vs. Wooo,,2011
,RIF: Aimai na Mama,,2015
,"Letchu, Getchu, Saru Getchu",,2002
,SPRiNGS: Junjou -SAKURA-,,2017
,Pom Pom Purin In The Tortoise and the Hare,,2001
,Oreimo 2: Ore no Imouto ga Konnani Eroge na Wake Nai,,2014
,Puri Puri Chii-chan!!,Spring,2017
,No Money Specials,,2007
,Slide,,2017
2000,Chou Tokkyuu Hikarian,Spring,1997
,Mama no Kekkon,,2002
,Natsu to Suisei: 27th,,2020
,Pocari Sweat Run Carnival 2019,,2019
,"Seiyuu's Life! A Small After-Party!",,2016
,Iruka to Shounen,,1975
,Onaka-hime,,2015
,Moomin (1972),,1972
,"Tokyo 7th Sisters: WORLD'S END / PUNCH'D RANKER",,2017
,Wooser no Sono Higurashi 3,Summer,2015
,Okaa-san no Kao,,1968
1989,Dondon Domeru to Ron,,1988
,PapA,,2010
,Kinoshita: Do My Best!,,2018
,Zutomayo: Seigi,,2019
,SHAREDOL Pilot,Fall ,2021
,Animentary Ketsudan,,1971
,Fanta x One Piece,,2016
,Teekyuu 7,Winter,2016
,Maten Rocket: Kimi ga Mita Sora wa,,2018
,Gall Force 2: Destruction,,1987
,Gomen yo! Wanwan,,1993
,Boku wa Shitteru yo,,2017
,"Poppin' Party: STAR BEAT! ~ Hoshinokodou ~",,2016
,"Queen's Blade 2: The Evil Eye",Fall ,2009
,Chichibu de Buchichi,,2018
,FAKE TYPE: Yummy Yummy Yummy,,2020
,My Wish,,2009
,Watashi to Piano,,1991
,Hidamari Sketch: Chou Hidamatsuri Special,,2007
,Odoriko Clinoppe,Spring,2013
,UFO Robo Grendizer vs Great Mazinger,,1976
,Shattered Angels Specials,,2007
2012,B-Daman Crossfire,Fall ,2011
,Phoenix 2772,,1980
,Yoshichiro Salutes,,1933
,Supercell: Utakata Hanabi,,2010
,daniwell: Love Logic,,2012
,Tsubasa to Hotaru (2016),,2016
,HameFura: Catarina Nounai Kaigi X,Summer,2021
,Washimo 4,Spring,2016
,Hiyoko Buta no Theme Part 2.,,2001
,I Love Tofu,,1994
,Boku no Nikkichou,,1982
,Adventure on the Gaboten Island,,1967
1970,Mooretsu Atarou,,1969
2010,Beyblade: Metal Fusion,Spring,2009
2013,B-Daman Fireblast,Fall ,2012
,"Junji Ito ""Collection""",Winter,2018
,Rurouni Kenshin: Review Special,,1997
,Chikatetsu ni Noru,,2018
,Kamen Rider Den-O: Imagin Anime 3,,2010
,Toilet no Kuni,,2015
,Dino Girl Gauko,Fall ,2019
,"Sai (Zenpen): Mawaru, Meguru, Sono Kaku e",,2004
,"Nanocore: Nano's Daily Life",,2015
,La Storia Della Arcana Famiglia,Summer,2012
1995,Daisuki! Nendomama,,1994
,2020 Nyeon Ujuui Wonder Kiddy,,1989
2021,Obake Zukan,Summer,2020
,amazarashi: Anta e,,2013
,Coppelion,Fall ,2013
,Hakyuu Hoshin Engi: The Blood of the Koh Family,,2018
,SD Gundam World Heroes,Spring,2021
,Ashita Aou ne,,2008
,Katsuobushi Da yo Jinsei wa,,2009
,The Prince and the White Horse,,2000
,Memoirs of Amorous Gentlemen,,2015
,OSTER project: Flower of Sorrow,,2013
,Judo Boy,,1969
,Nem: Aru Bakeneko no Koi Monogatari,,2012
,Haru Natsu,,2000
,Kabukibu!,Spring,2017
1993,Genesis Survivor Gaiarth,,1992
,Gasshin Sentai Mechander Robo,,1977
2017,Duel Masters Versus Revolution Final,Spring,2016
,Hello Kitty no Kaguya-hime,,1993
,Ai no Gakkou Cuore Monogatari,,1981
,Akai Yama Aoi Yama Shiroi Yama,,1974
,Infinite Stratos 2: Infinite Wedding,,2016
,GeGeGe no Kitarou: Youkai Japan Rally 3D,,2008
1999,Kurogane Communication,Fall ,1998
,Southern All Stars: Tatakau Mono-tachi e Ai wo Komete,,2018
1997,Magical Girl Pretty Sammy,,1995
,Valkyria Chronicles Special,,2010
,Larva: Island,,2018
,Gakuen Heaven: Hamu Hamu Heaven,,2006
,New Dream Hunter Rem: Yume no Kishitachi,,1990
2013,Inferno Cop,Fall ,2012
,The Breakaways: Girl Electric,,2016
,Phantom Quest Corp: Incident File 00 - Mysterious Yet Gorgeous Prologue,,1994
,Avengers Confidential: Black Widow & Punisher,,2014
,Yotsuya Alpha Beta,,2010
,Chibikko Cowboy,,1966
,"Jiiji no e Tegami: Grandfather's Letter",,2007
,Flamingo Waltz,,1988
,Sore Ike! Sabuibo Mask,Spring,2016
,Pandora to Akubi,,2019
,Space Battleship Yamato Pilot Film,,1990
,iMarine Project: Dive to Blue,,2016
,Hatachi no Ryouma with Kurofune-kun!,,2018
,Eureka Seven AO: The Flowers of Jungfrau,,2012
,96Neko & Kurousa-P: Eternal World,,2018
,G-angle Concept Movie (Cel Version),,2017
,Love Get Chu: Miracle Seiyuu Hakusho,Spring,2006
,EVISBEATS: New Yoku,,2018
2005,Zoids: Fuzors,Fall ,2004
,Marvel Future Avengers 2nd Season,Summer,2018
,Pretty Cure kara Minna e no Ouen Movie,,2011
,Tobe! Kujira no Peek,,1991
,Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita Mini Anime 2nd Season,Fall ,2021
,Uchuusen Sagittarius Pilot,,1982
,Yona Yona Penguin,,2009
,Hoshi to Niji to,,1972
,Smileflower,,2011
,Aimer: Re I Am,,2013
,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D - Tachikoma na Hibi,,2011
1967,Rainbow Sentai Robin,,1966
,In Search of the Lost Future,Fall ,2014
2013,"Say ""I love you."" - Mei and Marshmallow",,2012
,HoneyWorks: Suki Kirai,,2012
,Kakuchou Shoujo-Kei Trinary,,2017
,Wacky TV Na Na Na: Chase the Kraken Monster!,Spring,2020
,Godzilla Movie 3: The Planet Eater,,2018
,"Murphy's Irish Stout: Last Orders",,1997
,Catman Series II,,2002
,Bremen 4: Angels in Hell,,1981
,Hatena: Koe dake ga,,2021
2000,Omishi Magical Theater: Risky Safety,Fall ,1999
,Glass Fleet Specials,,2007
,Escha Chron,,2017
,Hamtaro Movie 1: Ham Ham Land no Daibouken,,2001
,Isekai Cheat Magician: Yoiboshi no Matsuri to Majutsushi,,2021
1990,Gall Force 5: Earth Chapter,,1989
,Neko Hiki no Ororane,,1992
,Tomoyo Harada & Keiichi Suzuki: Amefuri Kuma no Ko,,2010
,"Warm, Winter Canada",,2017
